Sno,Name,month,week,day,Leave_date,Leave_time,Return_date,Return_time
1,Aania,January,1,Monday,1/1/2024,8:00:00,1/1/2024,16:00:00
2,Aania,January,1,Tuesday,1/2/2024,8:00:00,1/2/2024,16:00:00
3,Aania,January,1,Wednesday,1/3/2024,8:00:00,1/3/2024,16:00:00
4,Aania,January,1,Thursday,1/4/2024,8:00:00,1/4/2024,16:00:00
5,Aania,January,1,Friday,1/5/2024,8:00:00,1/5/2024,16:00:00
6,Aania,January,1,Saturday,1/6/2024,null,1/6/2024,null
7,Aania,January,1,Sunday,1/7/2024,8:00:00,1/7/2024,null
8,Aania,January,2,Monday,1/8/2024,8:00:00,1/8/2024,16:00:00
9,Aania,January,2,Tuesday,1/9/2024,8:00:00,1/9/2024,16:00:00
10,Aania,January,2,Wednesday,1/10/2024,8:00:00,1/10/2024,16:00:00
11,Aania,January,2,Thursday,1/11/2024,15:00:00,1/11/2024,16:00:00
12,Aania,January,2,Friday,1/12/2024,8:00:00,1/12/2024,16:00:00
13,Aania,January,2,Saturday,1/13/2024,8:00:00,1/13/2024,16:00:00
14,Aania,January,2,Sunday,1/14/2024,8:00:00,1/14/2024,16:00:00
15,Aania,January,3,Monday,1/15/2024,11:00:00,1/15/2024,16:00:00
16,Aania,January,3,Tuesday,1/16/2024,8:00:00,1/16/2024,16:00:00
17,Aania,January,3,Wednesday,1/17/2024,8:00:00,1/17/2024,16:00:00
18,Aania,January,3,Thursday,1/18/2024,8:00:00,1/18/2024,16:00:00
19,Aania,January,3,Friday,1/19/2024,8:00:00,1/19/2024,16:00:00
20,Aania,January,3,Saturday,1/20/2024,null,1/20/2024,null
21,Aania,January,3,Sunday,1/21/2024,8:00:00,1/21/2024,16:00:00
22,Aania,January,4,Monday,1/22/2024,8:00:00,1/22/2024,16:00:00
23,Aania,January,4,Tuesday,1/23/2024,8:00:00,1/23/2024,16:00:00
24,Aania,January,4,Wednesday,1/24/2024,8:00:00,1/24/2024,16:00:00
25,Aania,January,4,Thursday,1/25/2024,8:00:00,1/25/2024,16:00:00
26,Aania,January,4,Friday,1/26/2024,8:00:00,1/26/2024,16:00:00
27,Aania,January,4,Saturday,1/27/2024,8:00:00,1/27/2024,16:00:00
28,Aania,January,4,Sunday,1/28/2024,8:00:00,1/28/2024,16:00:00
29,Aania,January,5,Monday,1/29/2024,11:00:00,1/29/2024,16:00:00
30,Aania,January,5,Tuesday,1/30/2024,11:00:00,1/30/2024,16:00:00
31,Aania,January,5,Wednesday,1/31/2024,11:00:00,1/31/2024,16:00:00
1,Aania,February,5,Thursday,2/1/2024,8:00:00,2/1/2024,16:00:00
2,Aania,February,5,Friday,2/2/2024,8:00:00,2/2/2024,16:00:00
3,Aania,February,5,Saturday,2/3/2024,8:00:00,2/3/2024,16:00:00
4,Aania,February,5,Sunday,2/4/2024,8:00:00,2/4/2024,16:00:00
5,Aania,February,6,Monday,2/5/2024,8:00:00,2/5/2024,16:00:00
6,Aania,February,6,Tuesday,2/6/2024,8:00:00,2/6/2024,16:00:00
7,Aania,February,6,Wednesday,2/7/2024,8:00:00,2/7/2024,16:00:00
8,Aania,February,6,Thursday,2/8/2024,8:00:00,2/8/2024,16:00:00
9,Aania,February,6,Friday,2/9/2024,8:00:00,2/9/2024,16:00:00
10,Aania,February,6,Saturday,2/10/2024,8:00:00,2/10/2024,16:00:00
11,Aania,February,6,Sunday,2/11/2024,8:00:00,2/11/2024,16:00:00
12,Aania,February,7,Monday,2/12/2024,5:00:00,2/12/2024,16:00:00
13,Aania,February,7,Tuesday,2/13/2024,8:00:00,2/13/2024,16:00:00
14,Aania,February,7,Wednesday,2/14/2024,8:00:00,2/14/2024,16:00:00
15,Aania,February,7,Thursday,2/15/2024,8:00:00,2/15/2024,14:00:00
16,Aania,February,7,Friday,2/16/2024,8:00:00,2/16/2024,15:00:00
17,Aania,February,7,Saturday,2/17/2024,8:00:00,2/17/2024,16:00:00
18,Aania,February,7,Sunday,2/18/2024,8:00:00,2/18/2024,16:00:00
19,Aania,February,8,Monday,2/19/2024,8:00:00,2/19/2024,16:00:00
20,Aania,February,8,Tuesday,2/20/2024,8:00:00,2/20/2024,16:00:00
21,Aania,February,8,Wednesday,2/21/2024,8:00:00,2/21/2024,16:00:00
22,Aania,February,8,Thursday,2/22/2024,8:00:00,2/22/2024,16:00:00
23,Aania,February,8,Friday,2/23/2024,8:00:00,2/23/2024,16:00:00
24,Aania,February,8,Saturday,2/24/2024,null,2/24/2024,null
25,Aania,February,8,Sunday,2/25/2024,null,2/25/2024,null
26,Aania,February,9,Monday,2/26/2024,8:00:00,2/26/2024,16:00:00
27,Aania,February,9,Tuesday,2/27/2024,8:00:00,2/27/2024,16:00:00
28,Aania,February,9,Wednesday,2/28/2024,8:00:00,2/28/2024,21:00:00
